Time,Amplitude
0.0,0.0
0.01,0.06279
0.02,0.12533
0.03,0.18738
0.04,0.24869
0.05,0.30902
0.06,0.36812
0.07,0.42578
0.08,0.48175
0.09,0.53583
0.1,0.58779
0.11,0.63742
0.12,0.68455
0.13,0.72897
0.14,0.77051
0.15,0.80902
0.16,0.84433
0.17,0.87631
0.18,0.90483
0.19,0.92978
0.2,0.95106
0.21,0.96858
0.22,0.98229
0.23,0.99211
0.24,0.99803
0.25,1.0
0.26,0.99803
0.27,0.99211
0.28,0.98229
0.29,0.96858
0.3,0.95106
0.31,0.92978
0.32,0.90483
0.33,0.87631
0.34,0.84433
0.35,0.80902
0.36,0.77051
0.37,0.72897
0.38,0.68455
0.39,0.63742
0.4,0.58779
0.41,0.53583
0.42,0.48175
0.43,0.42578
0.44,0.36812
0.45,0.30902
0.46,0.24869
0.47,0.18738
0.48,0.12533
0.49,0.06279
0.5,0.0
0.51,-0.06279
0.52,-0.12533
0.53,-0.18738
0.54,-0.24869
0.55,-0.30902
0.56,-0.36812
0.57,-0.42578
0.58,-0.48175
0.59,-0.53583
0.6,-0.58779
0.61,-0.63742
0.62,-0.68455
0.63,-0.72897
0.64,-0.77051
0.65,-0.80902
0.66,-0.84433
0.67,-0.87631
0.68,-0.90483
0.69,-0.92978
0.7,-0.95106
0.71,-0.96858
0.72,-0.98229
0.73,-0.99211
0.74,-0.99803
0.75,-1.0
0.76,-0.99803
0.77,-0.99211
0.78,-0.98229
0.79,-0.96858
0.8,-0.95106
0.81,-0.92978
0.82,-0.90483
0.83,-0.87631
0.84,-0.84433
0.85,-0.80902
0.86,-0.77051
0.87,-0.72897
0.88,-0.68455
0.89,-0.63742
0.9,-0.58779
0.91,-0.53583
0.92,-0.48175
0.93,-0.42578
0.94,-0.36812
0.95,-0.30902
0.96,-0.24869
0.97,-0.18738
0.98,-0.12533
0.99,-0.06279
